iter	Passed	Remaining
0	1	103
1	1	91
2	2	88
3	3	83
4	4	82
5	5	80
6	5	79
7	6	78
8	7	77
9	8	76
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	22	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	45
42	33	44
43	34	43
44	35	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	23
66	47	23
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	65	0
99	66	0
